,id,bedrooms,bathrooms,half_bathrooms,lot_size,construction_size,age,property_type_id_id,real_age,latitude,longitude,postal_code,settlement,price,balcony,water strorage,air_conditioning,pool,furniture,accasible_for_handicap,first_floor,security,parking_space,kitchen,garden,roof_Garden,service_room,gated_community,price_per_area,price_small,price_per_area_small,geometry,high_impact/area,low_impact/area
1250,27071,2.0,2.0,0.0,84.0,81.0,0,1.0,0,19.372553,-99.174092,03100,,5180000.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,61666.66666666666,5.18,0.0616666666666666,POINT (-99.174092 19.372553),61.14750835457885,359.2416115831507
1251,14,2.0,2.0,0.0,64.0,64.0,0,1.0,0,19.368514,-99.1399726,03570,portales oriente,2900000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,45312.5,2.9,0.0453125,POINT (-99.1399726 19.368514),68.44039075510878,231.936879781202
1252,4318,4.0,2.0,0.0,140.0,182.0,51,3.0,51,19.389952,-99.13027,08810,reforma iztaccihuatl norte,4450000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,31785.714285714286,4.45,0.0317857142857142,POINT (-99.13027 19.389952),35.151586611057,106.68383628810307
1253,13059,4.0,5.0,2.0,403.0,764.0,40,3.0,40,19.4028,-99.237826,11920,bosque de las lomas,16000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,39702.233250620346,16.0,0.0397022332506203,POINT (-99.237826 19.4028),1.289018965999675,12.632385866796815
1254,2163,3.0,2.0,0.0,161.0,161.0,11,1.0,11,19.339594,-99.197472,01080,tizapan,6790000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,42173.91304347826,6.79,0.0421739130434782,POINT (-99.197472 19.339594),64.03476738675612,203.3924823085747
1255,26256,2.0,2.0,0.0,117.0,117.0,0,1.0,0,19.346008,-99.21422,01790,lomas de los ángeles del pueblo tetelpan,5397300.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,46130.769230769234,5.3973,0.0461307692307692,POINT (-99.21422 19.346008),9.67832779415762,39.70596018115946
1256,25765,2.0,2.0,0.0,102.0,102.0,3,1.0,3,19.35585,-99.297037,05370,las tinajas,8153000.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,79931.37254901961,8.153,0.0799313725490196,POINT (-99.297037 19.35585),17.794848178883544,131.16901190373548
1257,26255,2.0,2.0,0.0,74.0,70.0,0,1.0,0,19.410715,-99.145956,06720,,2793856.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,37754.81081081081,2.793856,0.0377548108108108,POINT (-99.145956 19.410715),194.8891478951762,765.0499796208497
1258,28200,2.0,2.0,0.0,93.0,86.0,0,1.0,0,19.410928,-99.167361,06700,roma norte,5956650.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,64050.0,5.95665,0.06405,POINT (-99.167361 19.410928),90.61269196516918,403.2212656263627
1259,573,2.0,2.0,0.0,70.0,70.0,1,1.0,1,19.393305,-99.18685,03800,san pedro de los pinos,4040000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,57714.28571428572,4.04,0.0577142857142857,POINT (-99.18685 19.393305),49.69112229172031,236.76358268407915
1260,26925,2.0,2.0,0.0,81.0,76.0,0,1.0,0,19.410928,-99.167361,06700,roma norte,4985050.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,61543.82716049383,4.98505,0.0615438271604938,POINT (-99.167361 19.410928),90.61269196516918,403.2212656263627
1261,4783,3.0,4.0,1.0,236.0,256.0,16,3.0,16,19.359061,-99.28903,05330,lomas de memetla,9750000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,41313.5593220339,9.75,0.0413135593220339,POINT (-99.28903 19.359061),10.065785655022731,56.368399668127296
1262,27134,2.0,2.0,0.0,131.0,92.0,0,1.0,0,19.372799,-99.283231,05210,,4014000.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,30641.221374045803,4.014,0.0306412213740458,POINT (-99.283231 19.372799),21.743924741384628,122.28035096499099
1263,26601,2.0,2.0,0.0,71.0,71.0,2,1.0,2,19.392885,-99.158203,03020,narvarte poniente,3688400.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,51949.295774647886,3.6884,0.0519492957746478,POINT (-99.158203 19.392885),77.52857539828607,399.08512652987184
1264,6283,11.0,7.0,4.0,259.0,500.0,51,3.0,51,19.457836,-99.18998,11410,tacuba,8700000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,33590.73359073359,8.7,0.0335907335907335,POINT (-99.18998 19.457836),226.87183508971572,378.68600383933483
1265,9623,2.0,2.0,0.0,91.0,91.0,12,1.0,12,19.40986,-99.166186,06760,roma sur,4895000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,53791.20879120879,4.895,0.0537912087912087,POINT (-99.166186 19.40986),84.22500479760824,331.62565489782344
1266,4353,2.0,2.0,0.0,75.0,75.0,9,1.0,9,19.341629,-99.14708,04370,atlántida,3100000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,41333.333333333336,3.1,0.0413333333333333,POINT (-99.14708 19.341629),54.13787028943598,186.3349954148029
1267,10526,3.0,2.0,0.0,132.0,132.0,1,1.0,1,19.282263,-99.177923,14420,santa úrsula xitla,4500000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,34090.90909090909,4.5,0.034090909090909,POINT (-99.177923 19.282263),19.943654511612966,114.67601344177454
1268,26279,2.0,2.0,0.0,67.0,63.0,0,1.0,0,19.394617,-99.158549,03020,narvarte poniente,3795354.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,56647.07462686567,3.795354,0.0566470746268656,POINT (-99.158549 19.394617),77.52857539828607,399.08512652987184
1269,26274,2.0,1.0,0.0,69.0,69.0,0,1.0,0,19.396441,-99.156852,03020,narvarte poniente,3346000.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,48492.75362318841,3.346,0.0484927536231884,POINT (-99.156852 19.396441),77.52857539828607,399.08512652987184
1270,26641,3.0,2.0,0.0,123.0,123.0,0,1.0,0,19.346008,-99.21422,01790,lomas de los ángeles del pueblo tetelpan,5311800.0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,43185.365853658535,5.3118,0.0431853658536585,POINT (-99.21422 19.346008),9.67832779415762,39.70596018115946
1271,27414,2.0,1.0,0.0,78.0,71.0,0,1.0,0,19.459384,-99.192829,11280,torre blanca,2287987.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,29333.166666666668,2.287987,0.0293331666666666,POINT (-99.192829 19.459384),88.98349186217652,271.8041205971938
1272,21676,2.0,2.0,0.0,123.0,123.0,2022,1.0,0,19.3584743,-99.1455504,03300,portales sur,4353192.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,35391.80487804878,4.353192,0.0353918048780487,POINT (-99.1455504 19.3584743),58.277273873852444,230.4653532881147
