id,bedrooms,bathrooms,half_bathrooms,lot_size,construction_size,age,property_type_id_id,real_age,latitude,longitude,postal_code,settlement,price,balcony,water strorage,air_conditioning,pool,furniture,accasible_for_handicap,first_floor,security,parking_space,kitchen,garden,roof_Garden,service_room,gated_community,price_per_area,price_small,price_per_area_small
13170,2.0,2.0,0.0,90.0,90.0,6,1.0,6,19.415501,-99.179209,06140,condesa,5763000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,64033.333333333336,5.763,0.06403333333333333
9749,2.0,2.0,1.0,89.0,89.0,9,1.0,9,19.355282,-99.287193,05330,ampliación memetla,3995000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,44887.6404494382,3.995,0.0448876404494382
27920,2.0,1.0,0.0,65.0,65.0,0,1.0,0,19.46821,-99.146039,07790,vallejo poniente,2917200.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,44880.0,2.9172,0.04488
6834,2.0,2.0,0.0,110.0,110.0,2,1.0,2,19.356751,-99.29621,05000,cuajimalpa,4200000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,38181.818181818184,4.2,0.038181818181818185
194,3.0,2.0,1.0,141.0,141.0,8,1.0,8,19.3905107,-99.1620263,03020 ,del valle norte,7650000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,54255.31914893617,7.65,0.05425531914893617
10050,2.0,2.0,1.0,85.0,85.0,7,1.0,7,19.337398,-99.13139,04400,petrolera taxqueña,3800000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,44705.882352941175,3.8,0.04470588235294117
32419,2.0,2.0,0.0,78.0,78.0,0,1.0,0,19.3953389685,-99.1429442235,03400,álamos,3330500.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,42698.717948717946,3.3305,0.04269871794871795
1364,2.0,2.0,1.0,294.0,294.0,11,1.0,11,19.39411,-99.265564,05129,lomas del chamizal,12500000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,42517.00680272109,12.5,0.04251700680272109
26102,2.0,2.0,0.0,104.0,104.0,0,1.0,0,19.443067,-99.202949,11529,,7082800.0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,68103.84615384616,7.0828,0.06810384615384615
25681,2.0,2.0,0.0,65.0,65.0,0,1.0,0,19.363294,-99.14709,03300,portales sur,3200000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,49230.769230769234,3.2,0.04923076923076923
14052,2.0,2.0,0.0,110.0,110.0,2,1.0,2,19.396277,-99.163719,03103,del valle norte,5200000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,47272.72727272727,5.2,0.04727272727272727
11423,4.0,5.0,0.0,550.0,800.0,1,3.0,1,19.328968,-99.223417,10200,san jerónimo lídice,19950000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,36272.72727272727,19.95,0.03627272727272727
2737,2.0,2.0,0.0,120.0,120.0,9,1.0,9,19.411904,-99.17282,06140,condesa,5800000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,48333.333333333336,5.8,0.04833333333333333
37421,1.0,1.0,0.0,82.0,82.0,1,1.0,1,19.39284,-99.167865,03103,del valle norte,4500000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,54878.04878048781,4.5,0.054878048780487805
2320,4.0,2.0,1.0,340.0,340.0,42,1.0,42,19.435408,-99.18737,11560,polanco v sección,17000000.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,50000.0,17.0,0.05
25521,2.0,2.0,0.0,75.0,75.0,1,1.0,1,19.397645,-99.157611,03020,narvarte poniente,3482000.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,46426.666666666664,3.482,0.046426666666666665
